Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
digital-strategy-consulting,Digital Strategy & Transformation Consulting,<p>Strategic advisory services to guide digital transformation initiatives including technology assessment roadmap development and implementation strategy for global clients.</p>,Maker Software LLC,Services > Professional Services > Consulting Services,Services,"Strategy, Digital Transformation, Consulting, Advisory",true,Service Type,Business Analysis Report,,,,,,,,DS_SERVICE_001,0.0,,deny,manual,100.00,,false,true,,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=800,1,"Digital Strategy Consulting",false,Digital Strategy & Transformation Consulting | Maker Software LLC,Strategic advisory services for digital transformation initiatives worldwide,,g,,,active
digital-strategy-consulting,,,,,,,,,SMB Comprehensive Analysis,,,,,,,,DS_SERVICE_002,0.0,,deny,manual,300.00,,false,true,,,,,,,,,g,,,
digital-strategy-consulting,,,,,,,,,Enterprise Analysis,,,,,,,,DS_SERVICE_003,0.0,,deny,manual,500.00,,false,true,,,,,,,,,g,,,
digital-strategy-consulting,,,,,,,,,International Market Analysis,,,,,,,,DS_SERVICE_004,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
strategic-advisory-calls,Strategic Advisory Calls,<p>Expert one-on-one consulting sessions with senior strategists providing actionable insights and strategic planning for digital transformation initiatives.</p>,Maker Software LLC,Services > Professional Services > Consulting Services,Services,"Advisory, Consulting, Strategy, Planning",true,Service Type,1-Hour Consultation,,,,,,,,SA_SERVICE_001,0.0,,deny,manual,500.00,,false,true,,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800,1,"Strategic Advisory Call",false,Strategic Advisory Calls | Maker Software LLC,Expert consulting sessions with senior strategists for digital transformation,,g,,,active
strategic-advisory-calls,,,,,,,,,2-Hour Deep Dive,,,,,,,,SA_SERVICE_002,0.0,,deny,manual,800.00,,false,true,,,,,,,,,g,,,
strategic-advisory-calls,,,,,,,,,Half-Day Workshop,,,,,,,,SA_SERVICE_003,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
strategic-advisory-calls,,,,,,,,,Full-Day Strategic Session,,,,,,,,SA_SERVICE_004,0.0,,deny,manual,2000.00,,false,true,,,,,,,,,g,,,
digital-roadmap-workshop,Digital Roadmap Workshop,<p>Comprehensive strategic planning sessions with 12-month implementation roadmaps for digital transformation and technology modernization initiatives.</p>,Maker Software LLC,Services > Professional Services > Consulting Services,Services,"Roadmap, Planning, Digital Transformation, Workshop",true,Service Type,SMB Roadmap (1 Day),,,,,,,,DR_SERVICE_001,0.0,,deny,manual,2500.00,,false,true,,https://images.unsplash.com/photo-1552664730-d307ca884978?w=800,1,"Digital Roadmap Workshop",false,Digital Roadmap Workshop | Maker Software LLC,Comprehensive strategic planning sessions with implementation roadmaps,,g,,,active
digital-roadmap-workshop,,,,,,,,,Enterprise Roadmap (2 Days),,,,,,,,DR_SERVICE_002,0.0,,deny,manual,5000.00,,false,true,,,,,,,,,g,,,
