Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
digital-product-design,Digital Product Design & UX,<p>Professional design services creating compelling user experiences and brand identities including logo design complete brand packages and digital product experiences for global markets.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Design, UX, UI, Branding, Digital",true,Service Type,Logo Design,,,,,,,,DPD_SERVICE_001,0.0,,deny,manual,300.00,,false,true,,https://images.unsplash.com/photo-1561070791-2526d30994b5?w=800,1,"Digital Product Design",false,Digital Product Design & UX | Maker Software LLC,Professional design services for compelling user experiences and brand identities,,g,,,active
digital-product-design,,,,,,,,,Premium Logo with Variations,,,,,,,,DPD_SERVICE_002,0.0,,deny,manual,600.00,,false,true,,,,,,,,,g,,,
digital-product-design,,,,,,,,,Complete Logo System,,,,,,,,DPD_SERVICE_003,0.0,,deny,manual,1000.00,,false,true,,,,,,,,,g,,,
digital-product-design,,,,,,,,,Luxury Brand Logo,,,,,,,,DPD_SERVICE_004,0.0,,deny,manual,800.00,,false,true,,,,,,,,,g,,,
brand-identity-package,Brand Identity Package,<p>Complete brand package including logo colors typography and guidelines with startup business and enterprise options for comprehensive brand system development.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Brand, Identity, Package, Guidelines",true,Service Type,Startup Brand Package,,,,,,,,BIP_SERVICE_001,0.0,,deny,manual,1500.00,,false,true,,https://images.unsplash.com/photo-1559136555-9303baea8ebd?w=800,1,"Brand Identity Package",false,Brand Identity Package | Maker Software LLC,Complete brand packages with logo colors typography and comprehensive guidelines,,g,,,active
brand-identity-package,,,,,,,,,Business Brand Identity,,,,,,,,BIP_SERVICE_002,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
brand-identity-package,,,,,,,,,Enterprise Brand System,,,,,,,,BIP_SERVICE_003,0.0,,deny,manual,4000.00,,false,true,,,,,,,,,g,,,
brand-identity-package,,,,,,,,,Global Brand Guidelines,,,,,,,,BIP_SERVICE_004,0.0,,deny,manual,3200.00,,false,true,,,,,,,,,g,,,
ux-ui-design,UX/UI Design,<p>User experience and interface design for web and mobile applications including enterprise system design and e-commerce store design with modern design principles and user-centered approach.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"UX, UI, Interface, User Experience",true,Service Type,Web Application UI/UX,,,,,,,,UX_SERVICE_001,0.0,,deny,manual,2500.00,,false,true,,https://images.unsplash.com/photo-1561070791-2526d30994b5?w=800,1,"UX/UI Design Services",false,UX/UI Design | Maker Software LLC,User experience and interface design for web and mobile applications,,g,,,active
ux-ui-design,,,,,,,,,Mobile App Design,,,,,,,,UX_SERVICE_002,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
ux-ui-design,,,,,,,,,Enterprise System Design,,,,,,,,UX_SERVICE_003,0.0,,deny,manual,6000.00,,false,true,,,,,,,,,g,,,
ux-ui-design,,,,,,,,,E-commerce Store Design,,,,,,,,UX_SERVICE_004,0.0,,deny,manual,4000.00,,false,true,,,,,,,,,g,,,
website-redesign,Website Redesign,<p>Complete website redesign with modern UI/UX principles including business e-commerce enterprise portal and multi-language site redesign with performance optimization.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Website, Redesign, Modern, Optimization",true,Service Type,Business Website Redesign,,,,,,,,WR_SERVICE_001,0.0,,deny,manual,4000.00,,false,true,,https://images.unsplash.com/photo-1467232004584-a241de8bcf5d?w=800,1,"Website Redesign Services",false,Website Redesign | Maker Software LLC,Complete website redesign with modern UI/UX principles and optimization,,g,,,active
website-redesign,,,,,,,,,E-commerce Redesign,,,,,,,,WR_SERVICE_002,0.0,,deny,manual,6000.00,,false,true,,,,,,,,,g,,,
website-redesign,,,,,,,,,Enterprise Portal Redesign,,,,,,,,WR_SERVICE_003,0.0,,deny,manual,8000.00,,false,true,,,,,,,,,g,,,
website-redesign,,,,,,,,,Multi-language Site Redesign,,,,,,,,WR_SERVICE_004,0.0,,deny,manual,7000.00,,false,true,,,,,,,,,g,,,
cloud-infrastructure,Cloud & Infrastructure Solutions,<p>Modern cloud infrastructure and DevOps services ensuring scalable secure and reliable systems including comprehensive cloud strategy from migration to ongoing management.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Cloud, Infrastructure, DevOps, AWS, Azure",true,Service Type,Cloud Infrastructure Assessment,,,,,,,,CI_SERVICE_001,0.0,,deny,manual,2000.00,,false,true,,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=800,1,"Cloud Infrastructure Solutions",false,Cloud & Infrastructure Solutions | Maker Software LLC,Modern cloud infrastructure and DevOps services for scalable secure systems,,g,,,active
cloud-infrastructure,,,,,,,,,Comprehensive Cloud Assessment,,,,,,,,CI_SERVICE_002,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
cloud-infrastructure,,,,,,,,,Multi-cloud Architecture Review,,,,,,,,CI_SERVICE_003,0.0,,deny,manual,5000.00,,false,true,,,,,,,,,g,,,
cloud-infrastructure,,,,,,,,,Security & Compliance Audit,,,,,,,,CI_SERVICE_004,0.0,,deny,manual,4000.00,,false,true,,,,,,,,,g,,,
cloud-migration,Cloud Migration Services,<p>Full cloud migration including planning execution and optimization with SMB enterprise hybrid and multi-cloud migration options ensuring seamless transition to modern infrastructure.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Migration, Cloud, Planning, Optimization",true,Service Type,SMB Cloud Migration,,,,,,,,CM_SERVICE_001,0.0,,deny,manual,8000.00,,false,true,,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?w=800,1,"Cloud Migration Services",false,Cloud Migration Services | Maker Software LLC,Full cloud migration with planning execution and optimization for seamless transition,,g,,,active
cloud-migration,,,,,,,,,Enterprise Migration,,,,,,,,CM_SERVICE_002,0.0,,deny,manual,15000.00,,false,true,,,,,,,,,g,,,
cloud-migration,,,,,,,,,Hybrid Cloud Setup,,,,,,,,CM_SERVICE_003,0.0,,deny,manual,12000.00,,false,true,,,,,,,,,g,,,
cloud-migration,,,,,,,,,Multi-cloud Migration,,,,,,,,CM_SERVICE_004,0.0,,deny,manual,13500.00,,false,true,,,,,,,,,g,,,
devops-pipeline,DevOps Pipeline Setup,<p>CI/CD pipeline implementation with automated testing and deployment including basic enterprise multi-environment and container orchestration solutions for modern development workflows.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"DevOps, CI/CD, Pipeline, Automation",true,Service Type,Basic CI/CD Pipeline,,,,,,,,DP_SERVICE_001,0.0,,deny,manual,5000.00,,false,true,,https://images.unsplash.com/photo-1518186285589-2f7649de83e0?w=800,1,"DevOps Pipeline Setup",false,DevOps Pipeline Setup | Maker Software LLC,CI/CD pipeline implementation with automated testing and deployment,,g,,,active
devops-pipeline,,,,,,,,,Enterprise DevOps Platform,,,,,,,,DP_SERVICE_002,0.0,,deny,manual,10000.00,,false,true,,,,,,,,,g,,,
devops-pipeline,,,,,,,,,Multi-environment Pipeline,,,,,,,,DP_SERVICE_003,0.0,,deny,manual,8000.00,,false,true,,,,,,,,,g,,,
devops-pipeline,,,,,,,,,Container Orchestration,,,,,,,,DP_SERVICE_004,0.0,,deny,manual,7500.00,,false,true,,,,,,,,,g,,,
