Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
prototyping-validation,Prototyping & Validation,<p>Rapid prototyping and user validation services for product development including interactive prototypes user testing and product validation to validate concepts before full development.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Prototyping, Validation, User Testing, MVP",true,Service Type,Wireframe Prototyping,,,,,,,,PV_SERVICE_001,0.0,,deny,manual,800.00,,false,true,,https://images.unsplash.com/photo-1561070791-2526d30994b5?w=800,1,"Prototyping & Validation Services",false,Prototyping & Validation | Maker Software LLC,Rapid prototyping and user validation services for product development,,g,,,active
prototyping-validation,,,,,,,,,Interactive Prototype,,,,,,,,PV_SERVICE_002,0.0,,deny,manual,2200.00,,false,true,,,,,,,,,g,,,
prototyping-validation,,,,,,,,,User Testing & Research,,,,,,,,PV_SERVICE_003,0.0,,deny,manual,1800.00,,false,true,,,,,,,,,g,,,
prototyping-validation,,,,,,,,,Mobile App Prototype,,,,,,,,PV_SERVICE_004,0.0,,deny,manual,3200.00,,false,true,,,,,,,,,g,,,
prototyping-validation,,,,,,,,,Prototype Testing & Iteration,,,,,,,,PV_SERVICE_005,0.0,,deny,manual,2800.00,,false,true,,,,,,,,,g,,,
wireframe-development,Wireframe Development,<p>Professional wireframe creation for web and mobile applications including basic interactive and comprehensive wireframe suites with mobile app wireframe options.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Wireframes, Planning, UX, Design",true,Service Type,Basic Wireframes,,,,,,,,WF_SERVICE_001,0.0,,deny,manual,600.00,,false,true,,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800,1,"Wireframe Development Services",false,Wireframe Development | Maker Software LLC,Professional wireframe creation for web and mobile applications,,g,,,active
wireframe-development,,,,,,,,,Interactive Wireframes,,,,,,,,WF_SERVICE_002,0.0,,deny,manual,1000.00,,false,true,,,,,,,,,g,,,
wireframe-development,,,,,,,,,Comprehensive Wireframe Suite,,,,,,,,WF_SERVICE_003,0.0,,deny,manual,1500.00,,false,true,,,,,,,,,g,,,
wireframe-development,,,,,,,,,Mobile App Wireframes,,,,,,,,WF_SERVICE_004,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
user-testing-research,User Testing & Research,<p>Comprehensive user research and testing services including basic user testing user research international testing and A/B testing setup for optimal user experience validation.</p>,Maker Software LLC,Services > Professional Services > Consulting Services,Services,"User Testing, Research, Validation, Analysis",true,Service Type,Basic User Testing,,,,,,,,UT_SERVICE_001,0.0,,deny,manual,1500.00,,false,true,,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=800,1,"User Testing & Research",false,User Testing & Research | Maker Software LLC,Comprehensive user research and testing services for optimal UX validation,,g,,,active
user-testing-research,,,,,,,,,Comprehensive User Research,,,,,,,,UT_SERVICE_002,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
user-testing-research,,,,,,,,,International User Testing,,,,,,,,UT_SERVICE_003,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
user-testing-research,,,,,,,,,A/B Testing Setup,,,,,,,,UT_SERVICE_004,0.0,,deny,manual,2000.00,,false,true,,,,,,,,,g,,,
innovation-emerging-tech,Innovation & Emerging Tech,<p>Cutting-edge technology implementation including AI/ML blockchain and IoT solutions with innovation consulting and proof-of-concept development for emerging technologies and digital transformation.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"AI, ML, Blockchain, IoT, Innovation, Emerging",true,Service Type,AI/ML Proof of Concept,,,,,,,,IT_SERVICE_001,0.0,,deny,manual,5500.00,,false,true,,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=800,1,"Innovation & Emerging Tech",false,Innovation & Emerging Tech | Maker Software LLC,Cutting-edge technology implementation with AI ML blockchain and IoT solutions,,g,,,active
innovation-emerging-tech,,,,,,,,,Blockchain Smart Contract,,,,,,,,IT_SERVICE_002,0.0,,deny,manual,7500.00,,false,true,,,,,,,,,g,,,
innovation-emerging-tech,,,,,,,,,IoT Solution Development,,,,,,,,IT_SERVICE_003,0.0,,deny,manual,8200.00,,false,true,,,,,,,,,g,,,
innovation-emerging-tech,,,,,,,,,AI Chatbot Integration,,,,,,,,IT_SERVICE_004,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
innovation-emerging-tech,,,,,,,,,Data Analytics Platform,,,,,,,,IT_SERVICE_005,0.0,,deny,manual,12000.00,,false,true,,,,,,,,,g,,,
innovation-emerging-tech,,,,,,,,,Innovation Workshop,,,,,,,,IT_SERVICE_006,0.0,,deny,manual,18000.00,,false,true,,,,,,,,,g,,,
ai-ml-development,AI/ML Development,<p>Machine learning and artificial intelligence development services including basic ML models advanced AI solutions enterprise AI implementation and custom AI platform development.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"AI, Machine Learning, Artificial Intelligence, ML",true,Service Type,Basic ML Model,,,,,,,,AI_SERVICE_001,0.0,,deny,manual,5500.00,,false,true,,https://images.unsplash.com/photo-1677442136019-21780ecad995?w=800,1,"AI/ML Development Services",false,AI/ML Development | Maker Software LLC,Machine learning and artificial intelligence development services,,g,,,active
ai-ml-development,,,,,,,,,Advanced AI Solution,,,,,,,,AI_SERVICE_002,0.0,,deny,manual,8500.00,,false,true,,,,,,,,,g,,,
ai-ml-development,,,,,,,,,Enterprise AI Implementation,,,,,,,,AI_SERVICE_003,0.0,,deny,manual,12000.00,,false,true,,,,,,,,,g,,,
ai-ml-development,,,,,,,,,Custom AI Platform,,,,,,,,AI_SERVICE_004,0.0,,deny,manual,10000.00,,false,true,,,,,,,,,g,,,
blockchain-development,Blockchain Development,<p>Blockchain and smart contract development services including basic smart contracts DeFi protocol development enterprise blockchain solutions and NFT platform development.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Blockchain, Smart Contracts, DeFi, NFT, Web3",true,Service Type,Basic Smart Contract,,,,,,,,BC_SERVICE_001,0.0,,deny,manual,7500.00,,false,true,,https://images.unsplash.com/photo-1639762681485-074b7f938ba0?w=800,1,"Blockchain Development",false,Blockchain Development | Maker Software LLC,Blockchain and smart contract development for Web3 applications,,g,,,active
blockchain-development,,,,,,,,,DeFi Protocol Development,,,,,,,,BC_SERVICE_002,0.0,,deny,manual,12000.00,,false,true,,,,,,,,,g,,,
blockchain-development,,,,,,,,,Enterprise Blockchain Solution,,,,,,,,BC_SERVICE_003,0.0,,deny,manual,15000.00,,false,true,,,,,,,,,g,,,
blockchain-development,,,,,,,,,NFT Platform Development,,,,,,,,BC_SERVICE_004,0.0,,deny,manual,10000.00,,false,true,,,,,,,,,g,,,
