Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
web-development,Web Development,<p>Professional web development services creating fast responsive and conversion-optimized websites using modern development practices with performance and SEO optimization for global clients.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Web Development, Website, Responsive, SEO",true,Service Type,Conversion Landing Page,,,,,,,,WD_SERVICE_001,0.0,,deny,manual,800.00,,false,true,,https://images.unsplash.com/photo-1467232004584-a241de8bcf5d?w=800,1,"Web Development Services",false,Web Development | Maker Software LLC,Professional web development services with modern practices and global delivery,,g,,,active
web-development,,,,,,,,,A/B Testing Setup,,,,,,,,WD_SERVICE_002,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
web-development,,,,,,,,,Multi-variant Campaign,,,,,,,,WD_SERVICE_003,0.0,,deny,manual,1500.00,,false,true,,,,,,,,,g,,,
web-development,,,,,,,,,Advanced Analytics Landing,,,,,,,,WD_SERVICE_004,0.0,,deny,manual,2000.00,,false,true,,,,,,,,,g,,,
business-website,Business Website Development,<p>Professional business website development with CMS mobile optimization and modern design principles including SMB professional services multi-location and international business sites.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Business Website, CMS, Mobile, Professional",true,Service Type,SMB Business Website,,,,,,,,BW_SERVICE_001,0.0,,deny,manual,2500.00,,false,true,,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=800,1,"Business Website Development",false,Business Website Development | Maker Software LLC,Professional business websites with CMS and mobile optimization,,g,,,active
business-website,,,,,,,,,Professional Services Site,,,,,,,,BW_SERVICE_002,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
business-website,,,,,,,,,Multi-location Business,,,,,,,,BW_SERVICE_003,0.0,,deny,manual,4500.00,,false,true,,,,,,,,,g,,,
business-website,,,,,,,,,International Business Site,,,,,,,,BW_SERVICE_004,0.0,,deny,manual,5000.00,,false,true,,,,,,,,,g,,,
ecommerce-platform,E-commerce Platform Development,<p>Complete e-commerce solution with payment processing and inventory management including basic advanced multi-vendor and international e-commerce platforms with modern features.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"E-commerce, Online Store, Payment, Shopping",true,Service Type,Basic E-commerce Store,,,,,,,,EP_SERVICE_001,0.0,,deny,manual,5000.00,,false,true,,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800,1,"E-commerce Platform Development",false,E-commerce Platform Development | Maker Software LLC,Complete e-commerce solutions with payment processing and inventory management,,g,,,active
ecommerce-platform,,,,,,,,,Advanced E-commerce Platform,,,,,,,,EP_SERVICE_002,0.0,,deny,manual,8000.00,,false,true,,,,,,,,,g,,,
ecommerce-platform,,,,,,,,,Multi-vendor Marketplace,,,,,,,,EP_SERVICE_003,0.0,,deny,manual,10000.00,,false,true,,,,,,,,,g,,,
ecommerce-platform,,,,,,,,,International E-commerce,,,,,,,,EP_SERVICE_004,0.0,,deny,manual,9000.00,,false,true,,,,,,,,,g,,,
website-maintenance,Website Maintenance Services,<p>Ongoing website updates security and performance optimization with basic premium enterprise and emergency support packages ensuring optimal website performance year-round.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Maintenance, Updates, Security, Support",true,Service Type,Basic Maintenance,,,,,,,,WM_SERVICE_001,0.0,,deny,manual,200.00,,false,true,,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800,1,"Website Maintenance Services",false,Website Maintenance Services | Maker Software LLC,Ongoing website updates security and performance optimization,,g,,,active
website-maintenance,,,,,,,,,Premium Maintenance,,,,,,,,WM_SERVICE_002,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
website-maintenance,,,,,,,,,Enterprise Maintenance,,,,,,,,WM_SERVICE_003,0.0,,deny,manual,800.00,,false,true,,,,,,,,,g,,,
website-maintenance,,,,,,,,,Emergency Support Package,,,,,,,,WM_SERVICE_004,0.0,,deny,manual,600.00,,false,true,,,,,,,,,g,,,
