Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
maintenance-support,Maintenance & Support,<p>Ongoing maintenance and support services ensuring systems run smoothly and securely including proactive monitoring regular updates website maintenance and technical support packages.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Maintenance, Support, Updates, Monitoring, Technical",true,Service Type,Website Maintenance,,,,,,,,MS_SERVICE_001,0.0,,deny,manual,200.00,,false,true,,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800,1,"Maintenance & Support Services",false,Maintenance & Support | Maker Software LLC,Ongoing maintenance and support services for smooth and secure systems,,g,,,active
maintenance-support,,,,,,,,,Software Support & Updates,,,,,,,,MS_SERVICE_002,0.0,,deny,manual,500.00,,false,true,,,,,,,,,g,,,
maintenance-support,,,,,,,,,Performance Monitoring,,,,,,,,MS_SERVICE_003,0.0,,deny,manual,300.00,,false,true,,,,,,,,,g,,,
maintenance-support,,,,,,,,,Backup & Recovery Services,,,,,,,,MS_SERVICE_004,0.0,,deny,manual,100.00,,false,true,,,,,,,,,g,,,
maintenance-support,,,,,,,,,Technical Support Package,,,,,,,,MS_SERVICE_005,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
website-maintenance-service,Website Maintenance Service,<p>Regular website updates backups and security monitoring with basic premium enterprise and e-commerce maintenance options ensuring optimal website performance year-round.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Website Maintenance, Updates, Security, Backups",true,Service Type,Basic Website Maintenance,,,,,,,,WMS_SERVICE_001,0.0,,deny,manual,200.00,,false,true,,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800,1,"Website Maintenance Service",false,Website Maintenance Service | Maker Software LLC,Regular website updates security monitoring and performance optimization,,g,,,active
website-maintenance-service,,,,,,,,,Premium Website Care,,,,,,,,WMS_SERVICE_002,0.0,,deny,manual,350.00,,false,true,,,,,,,,,g,,,
website-maintenance-service,,,,,,,,,Enterprise Website Management,,,,,,,,WMS_SERVICE_003,0.0,,deny,manual,500.00,,false,true,,,,,,,,,g,,,
website-maintenance-service,,,,,,,,,E-commerce Maintenance,,,,,,,,WMS_SERVICE_004,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
software-support,Software Support & Updates,<p>Application maintenance with feature updates and bug fixes including basic software support premium application support enterprise software management and critical system support.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Software Support, Updates, Bug Fixes, Application",true,Service Type,Basic Software Support,,,,,,,,SS_SERVICE_001,0.0,,deny,manual,500.00,,false,true,,https://images.unsplash.com/photo-1518186285589-2f7649de83e0?w=800,1,"Software Support & Updates",false,Software Support & Updates | Maker Software LLC,Application maintenance with feature updates and comprehensive bug fixes,,g,,,active
software-support,,,,,,,,,Premium Application Support,,,,,,,,SS_SERVICE_002,0.0,,deny,manual,800.00,,false,true,,,,,,,,,g,,,
software-support,,,,,,,,,Enterprise Software Management,,,,,,,,SS_SERVICE_003,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
software-support,,,,,,,,,Critical System Support,,,,,,,,SS_SERVICE_004,0.0,,deny,manual,1000.00,,false,true,,,,,,,,,g,,,
performance-monitoring,Performance Monitoring,<p>24/7 performance tracking with optimization recommendations including basic performance monitoring advanced system monitoring enterprise monitoring suite and real-time alert systems.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Performance, Monitoring, Optimization, Analytics, Alerts",true,Service Type,Basic Performance Monitoring,,,,,,,,PM_SERVICE_001,0.0,,deny,manual,300.00,,false,true,,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800,1,"Performance Monitoring",false,Performance Monitoring | Maker Software LLC,24/7 performance tracking with optimization recommendations,,g,,,active
performance-monitoring,,,,,,,,,Advanced System Monitoring,,,,,,,,PM_SERVICE_002,0.0,,deny,manual,500.00,,false,true,,,,,,,,,g,,,
performance-monitoring,,,,,,,,,Enterprise Monitoring Suite,,,,,,,,PM_SERVICE_003,0.0,,deny,manual,800.00,,false,true,,,,,,,,,g,,,
performance-monitoring,,,,,,,,,Real-time Alert System,,,,,,,,PM_SERVICE_004,0.0,,deny,manual,600.00,,false,true,,,,,,,,,g,,,
