Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
content-marketing,Content & Marketing,<p>Strategic content creation and digital marketing services driving engagement and lead generation including professional copywriting SEO social media and marketing automation for global audiences.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Content, Marketing, SEO, Social Media, Copywriting",true,Service Type,Copywriting Services,,,,,,,,CM_SERVICE_001,0.0,,deny,manual,150.00,,false,true,,https://images.unsplash.com/photo-1432888622747-4eb9a8efeb07?w=800,1,"Content & Marketing Services",false,Content & Marketing | Maker Software LLC,Strategic content creation and digital marketing services for engagement and leads,,g,,,active
content-marketing,,,,,,,,,SEO Optimization,,,,,,,,CM_SERVICE_002,0.0,,deny,manual,300.00,,false,true,,,,,,,,,g,,,
content-marketing,,,,,,,,,Social Media Strategy,,,,,,,,CM_SERVICE_003,0.0,,deny,manual,500.00,,false,true,,,,,,,,,g,,,
content-marketing,,,,,,,,,Email Marketing Setup,,,,,,,,CM_SERVICE_004,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
content-marketing,,,,,,,,,Content Marketing Package,,,,,,,,CM_SERVICE_005,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
copywriting-services,Copywriting Services,<p>Professional website and marketing copy creation including website copy packages marketing copy suites technical documentation and complete content packages for businesses worldwide.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Copywriting, Content Writing, Marketing Copy, Technical",true,Service Type,Website Copy Package,,,,,,,,CS_SERVICE_001,0.0,,deny,manual,150.00,,false,true,,https://images.unsplash.com/photo-1486312338219-ce68d2c6f44d?w=800,1,"Copywriting Services",false,Copywriting Services | Maker Software LLC,Professional website and marketing copy creation for global businesses,,g,,,active
copywriting-services,,,,,,,,,Marketing Copy Suite,,,,,,,,CS_SERVICE_002,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
copywriting-services,,,,,,,,,Technical Documentation,,,,,,,,CS_SERVICE_003,0.0,,deny,manual,600.00,,false,true,,,,,,,,,g,,,
copywriting-services,,,,,,,,,Complete Content Package,,,,,,,,CS_SERVICE_004,0.0,,deny,manual,800.00,,false,true,,,,,,,,,g,,,
seo-optimization,SEO Optimization,<p>Search engine optimization with keyword strategy and implementation including basic SEO setup comprehensive SEO strategy enterprise SEO implementation and international SEO services.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"SEO, Search Engine Optimization, Keywords, Ranking",true,Service Type,Basic SEO Setup,,,,,,,,SEO_SERVICE_001,0.0,,deny,manual,300.00,,false,true,,https://images.unsplash.com/photo-1562577309-4932fdd64cd1?w=800,1,"SEO Optimization Services",false,SEO Optimization | Maker Software LLC,Search engine optimization with keyword strategy and global implementation,,g,,,active
seo-optimization,,,,,,,,,Comprehensive SEO Strategy,,,,,,,,SEO_SERVICE_002,0.0,,deny,manual,800.00,,false,true,,,,,,,,,g,,,
seo-optimization,,,,,,,,,Enterprise SEO Implementation,,,,,,,,SEO_SERVICE_003,0.0,,deny,manual,1500.00,,false,true,,,,,,,,,g,,,
seo-optimization,,,,,,,,,International SEO,,,,,,,,SEO_SERVICE_004,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
social-media-strategy,Social Media Strategy,<p>Complete social media planning setup and content calendar including basic social media setup complete social strategy multi-platform campaigns and influencer strategy packages.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Social Media, Strategy, Content, Campaigns, Influencer",true,Service Type,Basic Social Media Setup,,,,,,,,SM_SERVICE_001,0.0,,deny,manual,500.00,,false,true,,https://images.unsplash.com/photo-1611224923853-80b023f02d71?w=800,1,"Social Media Strategy",false,Social Media Strategy | Maker Software LLC,Complete social media planning and content strategy for global engagement,,g,,,active
social-media-strategy,,,,,,,,,Complete Social Strategy,,,,,,,,SM_SERVICE_002,0.0,,deny,manual,1000.00,,false,true,,,,,,,,,g,,,
social-media-strategy,,,,,,,,,Multi-platform Campaign,,,,,,,,SM_SERVICE_003,0.0,,deny,manual,1500.00,,false,true,,,,,,,,,g,,,
social-media-strategy,,,,,,,,,Influencer Strategy Package,,,,,,,,SM_SERVICE_004,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
ecommerce-solutions,E-commerce Solutions,<p>Specialized e-commerce development and optimization services for online stores and digital marketplaces including platform-specific expertise and conversion optimization for global markets.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"E-commerce, Online Store, Shopify, WooCommerce, Payment",true,Service Type,Shopify Store Setup,,,,,,,,EC_SERVICE_001,0.0,,deny,manual,800.00,,false,true,,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800,1,"E-commerce Solutions",false,E-commerce Solutions | Maker Software LLC,Specialized e-commerce development and optimization for global online stores,,g,,,active
ecommerce-solutions,,,,,,,,,WooCommerce Development,,,,,,,,EC_SERVICE_002,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
ecommerce-solutions,,,,,,,,,Payment Gateway Integration,,,,,,,,EC_SERVICE_003,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
ecommerce-solutions,,,,,,,,,Inventory Management System,,,,,,,,EC_SERVICE_004,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
ecommerce-solutions,,,,,,,,,E-commerce Analytics Setup,,,,,,,,EC_SERVICE_005,0.0,,deny,manual,600.00,,false,true,,,,,,,,,g,,,
shopify-development,Shopify Development,<p>Complete Shopify store configuration design and optimization including basic Shopify stores advanced Shopify Plus multi-location stores and international Shopify development.</p>,Maker Software LLC,Services > Professional Services > IT & Technology,Services,"Shopify, Store Setup, E-commerce, Online Store",true,Service Type,Basic Shopify Store,,,,,,,,SH_SERVICE_001,0.0,,deny,manual,800.00,,false,true,,https://images.unsplash.com/photo-1556742049-0cfed4f6a45d?w=800,1,"Shopify Development",false,Shopify Development | Maker Software LLC,Complete Shopify store configuration and optimization for global markets,,g,,,active
shopify-development,,,,,,,,,Advanced Shopify Plus,,,,,,,,SH_SERVICE_002,0.0,,deny,manual,1500.00,,false,true,,,,,,,,,g,,,
shopify-development,,,,,,,,,Multi-location Store,,,,,,,,SH_SERVICE_003,0.0,,deny,manual,2000.00,,false,true,,,,,,,,,g,,,
